AOI,,Pipeline,,Injection_WellPads,,LegacyWells,,AppraisalWells,,CrossSection,,References,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
13805.69679265039,72745.40233050397,53434.194873578024,39055.58961078728,,,,,,,,,,
14029.27082977833,53266.51434573207,53490.088382860005,41193.516340823226,,,,,,,,,,
14677.635537449363,72795.70648885777,54093.73828310545,32250.554855705563,,,,,,,,,,
14923.566978290097,53266.51434573207,54552.06505921773,24669.997659336295,,,,,,,,,,
15035.353996854068,72717.45557586299,54887.42611490964,31845.32691341117,,,,,,,,,,
15594.28908967392,43764.61776779455,55055.1066427556,30457.304766241872,,,,,,,,,,
15594.28908967392,48068.417982507424,55017.84430323428,27220.13902032688,,,,,,,,,,
15594.28908967392,47062.33481543169,55055.1066427556,28966.811185388924,,,,,,,,,,
15594.28908967392,46195.985421560916,39348.68657446059,13474.979197729599,,,,,,,,,,
15892.38780584451,72754.71791538429,39878.04110236813,13474.979197729599,,,,,,,,,,
15706.076108237892,51813.28310440045,40054.49261167065,15415.945800057256,,,,,,,,,,
15706.076108237892,51030.773974452655,40054.49261167065,16121.751837267311,,,,,,,,,,
15706.076108237892,49857.01027953096,40054.49261167065,16651.106365174845,,,,,,,,,,
16488.585238185686,72978.29195251224,41995.459213998285,16827.557874477367,,,,,,,,,,
16600.37225674966,76294.64016991004,42701.265251208344,16827.557874477367,,,,,,,,,,
16600.37225674966,74673.72840073246,43407.0712884184,17533.363911687422,,,,,,,,,,
16712.15927531363,80281.71049869167,43936.42581632595,17533.363911687422,,,,,,,,,,
16712.15927531363,79396.72993506023,44465.780344233484,17533.363911687422,,,,,,,,,,
16712.15927531363,78306.80650406152,45348.03789074606,17356.9124023849,,,,,,,,,,
17047.52033100554,43429.25671210264,46230.29543725863,17356.9124023849,,,,,,,,,,
17047.52033100554,36096.028294306154,46936.10147446868,17356.9124023849,,,,,,,,,,
17047.52033100554,35201.73214579439,47465.456002376224,17356.9124023849,,,,,,,,,,
17047.52033100554,34150.93417129307,48877.06807679633,17533.363911687422,,,,,,,,,,
17159.307349569513,39237.243515953734,50112.228641913935,18062.718439594955,,,,,,,,,,
17159.307349569513,38007.586311750056,50641.58316982147,18062.718439594955,,,,,,,,,,
17271.094368133483,82331.13917236446,51523.840716334045,18592.0729675025,,,,,,,,,,
17271.094368133483,42497.69822406955,51523.840716334045,18944.97598610752,,,,,,,,,,
17271.094368133483,41864.23845220705,51700.29222563656,19297.879004712555,,,,,,,,,,
17271.094368133483,41193.516340823226,52053.195244241586,20180.13655122512,,,,,,,,,,
17774.13595167135,33703.786097037184,51876.743734939075,20709.49107913267,,,,,,,,,,
18333.071044491204,82331.13917236446,52053.195244241586,21238.84560704021,,,,,,,,,,
18947.899646593043,82331.13917236446,53111.90430005667,21768.200134947743,,,,,,,,,,
19245.998362763632,33703.786097037184,53641.25882796421,22650.457681460324,,,,,,,,,,
20512.917906488634,33591.999078473214,53641.25882796421,23179.812209367858,,,,,,,,,,
21407.2140550004,82219.3521538005,53641.25882796421,23885.61824657791,,,,,,,,,,
